,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Label,Buy and Hold,Parameter 1,Parameter 2,Week_Type_value,Week_Type,True Labels Strategy,Logistic_Regression_pred,KNN prediction p_1.5,Linear_Model_pred
0,2015-01-02,2015,1,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,0,2015-00,12.15,12.15,12.15,12.15,0.0,6.63,0.0,6.63,6.63,+,100,100.0,0,2.22,green,100,0,0,20.481
1,2015-01-05,2015,1,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,1,2015-01,11.96,11.96,11.96,11.96,0.0,6.53,-0.015637855346961268,6.58,6.58,-,100,100.0,0,1.83,green,100,0,0,20.436
2,2015-01-06,2015,1,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,1,2015-01,11.87,11.87,11.87,11.87,0.0,6.48,-0.007525162048266698,6.546666666666668,6.546666666666668,-,98,100.0,0,1.83,green,101,0,0,20.436
3,2015-01-07,2015,1,7,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,1,2015-01,11.99,11.99,11.99,11.99,0.0,6.54,0.010109552356874827,6.545,6.545,+,98,100.0,0,1.83,green,101,0,0,20.436
4,2015-01-08,2015,1,8,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,1,2015-01,12.17,12.17,12.17,12.17,0.0,6.64,0.015012448974653925,6.564,6.564,+,98,100.0,0,1.83,green,102,0,0,20.436
5,2015-01-09,2015,1,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,1,2015-01,12.08,12.08,12.08,12.08,0.0,6.59,-0.007395240259148618,6.5683333333333325,6.5683333333333325,-,96,100.0,0,1.83,green,103,0,0,20.436
6,2015-01-12,2015,1,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,2,2015-02,12.0,12.0,12.0,12.0,0.0,6.55,-0.0066225381130128325,6.565714285714287,6.565714285714287,-,95,95.0,0,1.69,green,103,0,0,19.459
7,2015-01-13,2015,1,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,2,2015-02,11.94,11.94,11.94,11.94,0.0,6.52,-0.004999907158312554,6.56,6.56,-,94,95.0,0,1.69,green,103,0,0,19.459
8,2015-01-14,2015,1,14,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,2,2015-02,11.98,11.98,11.98,11.98,0.0,6.54,0.003349948051105889,6.557777777777778,6.557777777777778,+,94,95.0,0,1.69,green,103,0,0,19.459
9,2015-01-15,2015,1,15,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,2,2015-02,11.87,11.87,11.87,11.87,0.0,6.48,-0.00918187277965854,6.55,6.55,-,93,95.0,0,1.69,green,103,0,0,19.459
